0.0354	-2.07641	2.26051
0.0356	-2.07596	2.25917
0.0358	-2.07551	2.25784
0.036	-2.07506	2.25651
0.0362	-2.07461	2.25518
0.0364	-2.07416	2.25386
0.0366	-2.07371	2.25253
0.0368	-2.07326	2.25121
0.037	-2.07281	2.24989
0.0372	-2.07236	2.24857
0.0374	-2.07191	2.24726
0.0376	-2.07146	2.24594
0.0378	-2.07101	2.24463
0.038	-2.07056	2.24332
0.0382	-2.07011	2.24201
0.0383999	-2.06966	2.2407
0.0385999	-2.06922	2.2394
0.0387999	-2.06877	2.23809
0.0389999	-2.06832	2.23679
0.0391999	-2.06787	2.23549
0.0393999	-2.06743	2.23419
0.0395999	-2.06698	2.2329
0.0397999	-2.06653	2.2316
0.0399999	-2.06609	2.23031
0.0401999	-2.06564	2.22902
0.0403999	-2.06519	2.22773
0.0405999	-2.06475	2.22645
0.0407999	-2.0643	2.22516
0.0409999	-2.06386	2.22388
0.0411999	-2.06341	2.2226
0.0413999	-2.06297	2.22132
0.0415999	-2.06253	2.22004
0.0417999	-2.06208	2.21876
0.0419999	-2.06164	2.21749
0.0421999	-2.0612	2.21622
0.0423999	-2.06075	2.21495
0.0425999	-2.06031	2.21368
0.0427999	-2.05987	2.21241
0.0429999	-2.05942	2.21114
0.0431999	-2.05898	2.20988
0.0433999	-2.05854	2.20862
0.0435999	-2.0581	2.20736
0.0437999	-2.05766	2.2061
0.0439999	-2.05722	2.20485
0.0441999	-2.05678	2.20359
0.0443999	-2.05633	2.20234
0.0445999	-2.05589	2.20109
0.0447999	-2.05545	2.19984
0.0449999	-2.05501	2.19859
0.0451999	-2.05458	2.19735
0.0453999	-2.05414	2.1961
0.0455999	-2.0537	2.19486
0.0457999	-2.05326	2.19362
0.0459999	-2.05282	2.19238
0.0461999	-2.05238	2.19114
0.0463999	-2.05194	2.18991
0.0465999	-2.0515	2.18868
0.0467999	-2.05107	2.18744
0.0469999	-2.05063	2.18621
0.0471999	-2.05019	2.18499
0.0473999	-2.04976	2.18376
0.0475999	-2.04932	2.18253
0.0477999	-2.04888	2.18131
0.0479999	-2.04845	2.18009
0.0481999	-2.04801	2.17887
0.0483999	-2.04758	2.17765
0.0485999	-2.04714	2.17644
0.0487999	-2.0467	2.17522
0.0489999	-2.04627	2.17401
0.0491999	-2.04583	2.1728
0.0493999	-2.0454	2.17159
0.0495999	-2.04497	2.17038
0.0497999	-2.04453	2.16918
0.0499999	-2.0441	2.16797
0.0501999	-2.04367	2.16677
0.0503999	-2.04323	2.16557
0.0505999	-2.0428	2.16437
0.0507999	-2.04237	2.16317
0.0509999	-2.04193	2.16198
0.0511999	-2.0415	2.16078
0.0513999	-2.04107	2.15959
0.0515999	-2.04064	2.1584
0.0517999	-2.04021	2.15721
0.0519999	-2.03977	2.15602
0.0521999	-2.03934	2.15484
0.0523999	-2.03891	2.15365
